ACTA,FILE_NAME,HASH_FILE_TSE,DATE_TIME,URL_TYPE,URL
9374,missing_dos_9374.jpeg,e5b8c22197a1c521c0820f9b8e5d0ee7732f659092113e9d8072295ae7946889,2024-02-21T14:01:29.802252,dos,https://divulgacion.tse.gob.sv/administracion/img/get-acta-dos/9374
9802,missing_uno_9802.jpeg,e96b034de265f593007536df91b9684dd3e03aa47841e441f921aaa63158504a,2024-02-21T14:01:31.637265,uno,https://preliminar.tse.gob.sv/administracion/img/get-acta/9802
9802,missing_dos_9802.jpeg,75caa95d3bae67845b43fde2478f9c48c03a4f21ab74bcfc8aae4b31b837f483,2024-02-21T14:01:33.687031,dos,https://divulgacion.tse.gob.sv/administracion/img/get-acta-dos/9802
9678,missing_uno_9678.jpeg,a3776b869791d4c2771955ebeb53bf668a56638281fdc392c3ab05d2e48242fc,2024-02-21T14:01:35.809056,uno,https://preliminar.tse.gob.sv/administracion/img/get-acta/9678
9678,missing_dos_9678.jpeg,3412586235f11e348766f2a7c9b203cd2daf77b2315e563d2875daf1fbb710b6,2024-02-21T14:01:37.833932,dos,https://divulgacion.tse.gob.sv/administracion/img/get-acta-dos/9678
100,not_found,Not Found,2024-02-21T14:01:39.941827,uno,https://preliminar.tse.gob.sv/administracion/img/get-acta/100
1199,missing_uno_1199.jpeg,b7de905799829daeb0631dc89ee7d93e1b2ded3c59c122bf7671eebf8756ae24,2024-02-21T14:01:42.021796,uno,https://preliminar.tse.gob.sv/administracion/img/get-acta/1199
123,not_found,Not Found,2024-02-21T14:01:42.587938,uno,https://preliminar.tse.gob.sv/administracion/img/get-acta/123
126,not_found,Not Found,2024-02-21T14:01:43.194354,uno,https://preliminar.tse.gob.sv/administracion/img/get-acta/126
135,not_found,Not Found,2024-02-21T14:01:44.829012,uno,https://preliminar.tse.gob.sv/administracion/img/get-acta/135
140,not_found,Not Found,2024-02-21T14:01:45.848155,uno,https://preliminar.tse.gob.sv/administracion/img/get-acta/140
15,not_found,Not Found,2024-02-21T14:01:46.361498,uno,https://preliminar.tse.gob.sv/administracion/img/get-acta/15
163,not_found,Not Found,2024-02-21T14:01:47.029857,uno,https://preliminar.tse.gob.sv/administracion/img/get-acta/163
166,not_found,Not Found,2024-02-21T14:01:47.481536,uno,https://preliminar.tse.gob.sv/administracion/img/get-acta/166
17,not_found,Not Found,2024-02-21T14:01:48.212032,uno,https://preliminar.tse.gob.sv/administracion/img/get-acta/17
171,not_found,Not Found,2024-02-21T14:01:48.620118,uno,https://preliminar.tse.gob.sv/administracion/img/get-acta/171
172,not_found,Not Found,2024-02-21T14:01:49.265960,uno,https://preliminar.tse.gob.sv/administracion/img/get-acta/172
1779,missing_uno_1779.jpeg,cc49aea3e7d273adeb9b686024104af9ab5857d232cc6536a0c0d99e094c76cb,2024-02-21T14:01:51.090087,uno,https://preliminar.tse.gob.sv/administracion/img/get-acta/1779
178,not_found,Not Found,2024-02-21T14:01:51.435549,uno,https://preliminar.tse.gob.sv/administracion/img/get-acta/178
1820,missing_uno_1820.jpeg,67a207874ef9219461f6ae2a12a4ef4c724c7ac685fdd8d57679d9bd0584db4c,2024-02-21T14:01:53.770177,uno,https://preliminar.tse.gob.sv/administracion/img/get-acta/1820
1843,missing_uno_1843.jpeg,8cc4c3489247ea6fb90ea367f22c6a9a71ae4b39f6f7dec955e47ebbd70e7d5f,2024-02-21T14:01:55.842091,uno,https://preliminar.tse.gob.sv/administracion/img/get-acta/1843
1847,missing_uno_1847.jpeg,774d465d4ce0c636a3855fb196388e66c54a68898998c306aa76b01752315f2e,2024-02-21T14:01:57.923275,uno,https://preliminar.tse.gob.sv/administracion/img/get-acta/1847
1855,missing_uno_1855.jpeg,ff7bb0e7253a38073b0e3a42835d571e5b2e0ab6212cbc03338308369f149663,2024-02-21T14:02:00.160121,uno,https://preliminar.tse.gob.sv/administracion/img/get-acta/1855
1860,missing_uno_1860.jpeg,a685b91f7a18084fa0a7db9b836aa73ed9f1d30ede8c76b551759edb97323fe9,2024-02-21T14:02:02.270900,uno,https://preliminar.tse.gob.sv/administracion/img/get-acta/1860
1863,missing_uno_1863.jpeg,62d9c944f58dfb68f3242464be7b0f5451eaa53847273f4bf8d5aca8510b9d1b,2024-02-21T14:02:04.313558,uno,https://preliminar.tse.gob.sv/administracion/img/get-acta/1863
1875,missing_uno_1875.jpeg,a7fa6f18cc25eac356f3efe6e660c2025b1bc80ac23fc0778c89749d0d54b62f,2024-02-21T14:02:07.091504,uno,https://preliminar.tse.gob.sv/administracion/img/get-acta/1875
1877,missing_uno_1877.jpeg,6ba504ba625eeb8d6f1ea5db175393bbc56e4833b823ce7a5443d159c84c117f,2024-02-21T14:02:09.045544,uno,https://preliminar.tse.gob.sv/administracion/img/get-acta/1877
1880,missing_uno_1880.jpeg,648c98ede5b4e6bc9cf9b44df001c2164d12d861f28a95345c0e95e328c69074,2024-02-21T14:02:10.939555,uno,https://preliminar.tse.gob.sv/administracion/img/get-acta/1880
1886,missing_uno_1886.jpeg,6510d6a0bcfe5df8266e01641928a3d54afff5e7b9d756aaafa4663e8d8db37a,2024-02-21T14:02:12.939116,uno,https://preliminar.tse.gob.sv/administracion/img/get-acta/1886
1888,missing_uno_1888.jpeg,b3e5f69a281597d9b3ebbf61156d6cfa8bce1b4da6caf36b888d0936374f99ac,2024-02-21T14:02:15.044564,uno,https://preliminar.tse.gob.sv/administracion/img/get-acta/1888
1892,missing_uno_1892.jpeg,084159765c814a04b6b5ae381c496db2f1825e86e36cc5e93e1496204088948f,2024-02-21T14:02:17.106971,uno,https://preliminar.tse.gob.sv/administracion/img/get-acta/1892
1894,missing_uno_1894.jpeg,eb769817009fb5280bd20afe5976484816a1f8e62fe93a3a4056dce70bf7ab38,2024-02-21T14:02:19.033664,uno,https://preliminar.tse.gob.sv/administracion/img/get-acta/1894
1898,missing_uno_1898.jpeg,e0efa7913275a6c896ed7920734ec0597d5881f8b78d8c7038356403d38edd90,2024-02-21T14:02:20.711552,uno,https://preliminar.tse.gob.sv/administracion/img/get-acta/1898
19,not_found,Not Found,2024-02-21T14:02:21.405171,uno,https://preliminar.tse.gob.sv/administracion/img/get-acta/19
1903,missing_uno_1903.jpeg,c3f82259d35d4d2df8ac6021bfec8479bd141d9db19d22af8274f5e976c5050f,2024-02-21T14:02:23.321173,uno,https://preliminar.tse.gob.sv/administracion/img/get-acta/1903
1908,missing_uno_1908.jpeg,ab5952e4f1ef0215c01a5d3b9c618c57ce487778a3e4843ad1500490bef388a0,2024-02-21T14:02:25.357588,uno,https://preliminar.tse.gob.sv/administracion/img/get-acta/1908
1910,missing_uno_1910.jpeg,1097c9fcf4ea74ed294e2910f83569f6ca36105bb51e585d25231247d78c4754,2024-02-21T14:02:27.331423,uno,https://preliminar.tse.gob.sv/administracion/img/get-acta/1910
1914,missing_uno_1914.jpeg,041be7ce91b34bd073b8c12df121a5c8a67e43d8609690ad266c92408bf07928,2024-02-21T14:02:29.293735,uno,https://preliminar.tse.gob.sv/administracion/img/get-acta/1914
